facility_id,facility_name,betweenness_centrality,in_degree_centrality,out_degree_centrality,in_degree_raw,out_degree_raw,clustering_coefficient,pagerank,avg_incident_delay,avg_sla_breach_rate,total_trip_volume,centrality_rank,centrality_tier
IND000000ACB,GURGAON_BILASPUR_HB (HARYANA),0.27126542074716253,0.02717391304347826,0.029589371980676328,45,49,0.03715846994535519,0.009999455558194368,1.7666724005445797,0.8712673301405226,1991,1,Tier 1 — National Hub
IND562132AAA,BANGALORE_NELMNGLA_H (KARNATAKA),0.12544126275230966,0.021739130434782608,0.021135265700483092,36,35,0.05357142857142857,0.008298846398578011,1.6185650117962287,0.8453297256946763,1433,2,Tier 1 — National Hub
IND712311AAA,KOLKATA_DANKUNI_HB (WEST BENGAL),0.10967948465344367,0.014492753623188404,0.013285024154589372,24,22,0.0392156862745098,0.007732691912351154,3.4215550458284127,0.9807803911064781,481,3,Tier 1 — National Hub
IND501359AAE,HYDERABAD_SHAMSHBD_H (TELANGANA),0.08696083940238676,0.018115942028985508,0.016304347826086956,30,27,0.042682926829268296,0.00843741658342345,2.0392273853346388,0.8977074127853137,734,4,Tier 1 — National Hub
IND131028AAB,SONIPAT_KUNDLI_H (HARYANA),0.049022535769711655,0.012077294685990338,0.012077294685990338,20,20,0.03870967741935484,0.00561945842104098,1.9907279737414951,0.8720295087475572,574,5,Tier 1 — National Hub
IND302014AAA,JAIPUR_HUB (RAJASTHAN),0.046547729030751495,0.006038647342995169,0.004830917874396135,10,8,0.06666666666666667,0.003105210166016013,2.1371229873220177,0.9109443294225904,192,6,Tier 1 — National Hub
IND781018AAB,GUWAHATI_HUB (ASSAM),0.044276469100126004,0.010265700483091786,0.009057971014492754,17,15,0.03162055335968379,0.004428997568186885,1.9878520028500708,0.7346850198412699,180,7,Tier 1 — National Hub
IND209304AAA,KANPUR_CENTRAL_H_6 (UTTAR PRADESH),0.044006416898969114,0.00966183574879227,0.00785024154589372,16,13,0.03463203463203463,0.004963004088122987,2.26044221927509,0.8938622584312238,392,8,Tier 1 — National Hub
IND421302AAG,BHIWANDI_MANKOLI_HB (MAHARASHTRA),0.04290807025993549,0.01751207729468599,0.01751207729468599,29,29,0.06156156156156156,0.008326955512440472,2.4844314052167444,0.9900179075651823,1404,9,Tier 1 — National Hub
IND160002AAC,CHANDIGARH_MEHMDPUR_H (PUNJAB),0.0412736498484561,0.01932367149758454,0.01751207729468599,32,29,0.03433001107419712,0.008363490209088643,1.6781304181146324,0.7166145089434037,801,10,Tier 1 — National Hub
IND411033AAA,PUNE_TATHAWDE_H (MAHARASHTRA),0.03734983167194516,0.013888888888888888,0.012077294685990338,23,20,0.06157635467980296,0.005508583046889906,1.8825367856759587,0.8725927653855251,733,11,Tier 1 — National Hub
IND382430AAB,AHMEDABAD_EAST_H_1 (GUJARAT),0.0357557175591459,0.010265700483091786,0.00785024154589372,17,13,0.03985507246376811,0.004149303547353427,1.9686308020991399,0.9003018985371926,537,12,Tier 1 — National Hub
IND751002AAB,BHUBANESHWAR_HUB (ORISSA),0.03186817505144709,0.00785024154589372,0.003623188405797101,13,6,0.10833333333333334,0.003010363950625458,2.204996961216374,0.9327485380116959,164,13,Tier 1 — National Hub
IND600056AAB,MAA_POONAMALLEE_HB (TAMIL NADU),0.03166462824311241,0.010869565217391304,0.010869565217391304,18,18,0.05928853754940711,0.004288664544139813,1.7127263535485102,0.8337745343244203,541,14,Tier 1 — National Hub
IND530012AAA,VISAKHAPATNAM_GAJUWAKA_IP (ANDHRA PRADESH),0.02648325354778133,0.006038647342995169,0.006642512077294686,10,11,0.054945054945054944,0.0033209698392506373,2.7780741947077763,0.9368131868131868,138,15,Tier 1 — National Hub
IND462022AAA,BHOPAL_TRNSPORT_H (MADHYA PRADESH),0.023903650432252822,0.00785024154589372,0.005434782608695652,13,9,0.0718954248366013,0.0043314002581209985,2.2080584407454382,0.9804895104895105,266,16,Tier 1 — National Hub
IND842001AAA,MUZAFFRPUR_BBGANJ_I (BIHAR),0.021902442702784224,0.007246376811594202,0.009057971014492754,12,15,0.057971014492753624,0.005175909053492138,3.4203039454286692,0.9923526765632028,336,17,Tier 1 — National Hub
IND110037AAM,DELHI_AIRPORT_H (DELHI),0.021825860735291972,0.012681159420289854,0.014492753623188404,21,24,0.07056451612903226,0.005093898104471422,2.354828667575112,0.924403443714267,445,18,Tier 1 — National Hub
IND683511AAA,ALUVA_PEEDIKA_H (KERALA),0.020671085278106165,0.00785024154589372,0.004227053140096618,13,7,0.029411764705882353,0.00277217854467588,1.5349837492999048,0.8458644133644133,175,19,Tier 1 — National Hub
IND854326AAB,PURNIA_CENTRAL_H_2 (BIHAR),0.018623525305155413,0.004830917874396135,0.004830917874396135,8,8,0.15384615384615385,0.0018196014485521571,2.1319210260628605,0.9768692564745196,132,20,Tier 1 — National Hub
IND573201AAB,HASSAN_PANDRNGA_I (KARNATAKA),0.01691252292618377,0.0024154589371980675,0.0030193236714975845,4,5,0.14285714285714285,0.001515000592280288,1.6820166055234704,0.9516594516594515,94,21,Tier 1 — National Hub
IND211002AAB,ALLAHABAD_CENTRAL_H_1 (UTTAR PRADESH),0.015737594319657894,0.003623188405797101,0.0024154589371980675,6,4,0.027777777777777776,0.0017726400916738118,3.6538209390938783,0.95625,101,22,Tier 1 — National Hub
IND742101AAC,BAHARAMPUR_CHUANPUR_I (WEST BENGAL),0.0145868494923401,0.003623188405797101,0.003623188405797101,6,6,0.05454545454545454,0.001664376850893537,2.880924503486423,1.0,60,23,Tier 1 — National Hub
IND306401AAB,PALI_NAYAGAON_I (RAJASTHAN),0.013117684905449256,0.0018115942028985505,0.0024154589371980675,3,4,0.2,0.0014250670153155474,1.8191129117897766,0.8984126984126986,94,24,Tier 1 — National Hub
IND575004AAB,MANGALORE_KUNTIKNA_H (KARNATAKA),0.012662223730363754,0.003623188405797101,0.004227053140096618,6,7,0.07692307692307693,0.0016937648027899716,2.514265150264516,0.9821428571428571,57,25,Tier 1 — National Hub
IND395023AAA,SURAT_HUB (GUJARAT),0.012458676922029083,0.004830917874396135,0.004830917874396135,8,8,0.16363636363636364,0.0017939921703342225,2.060310125224864,0.9254486832611832,174,26,Tier 1 — National Hub
IND713205AAB,DURGAPUR_CENTRAL_I_1 (WEST BENGAL),0.011938725669055369,0.004227053140096618,0.006642512077294686,7,11,0.054945054945054944,0.0031585839933685354,2.227961118964648,0.9166666666666666,104,27,Tier 1 — National Hub
IND332001AAB,SIKAR_FATEHPRD_I (RAJASTHAN),0.011557831146528112,0.0018115942028985505,0.003623188405797101,3,6,0.08333333333333333,0.0014870014677209303,1.8911857950557642,0.9174603174603173,54,28,Tier 1 — National Hub
IND826004AAA,DHANBAD_KALYNPUR_I (JHARKHAND),0.01139056000700556,0.004227053140096618,0.005434782608695652,7,9,0.07692307692307693,0.0025600611375239564,2.4045171355725037,0.7857007575757575,100,29,Tier 1 — National Hub
IND786001AAB,DIBRUGARH_BOKULE_H (ASSAM),0.011388544692071553,0.003623188405797101,0.004227053140096618,6,7,0.10606060606060606,0.002471873654239065,2.3405694305694307,0.9467455621301775,80,30,Tier 1 — National Hub
IND842003AAB,JABALPUR_ADHARTAL_IP (MADHYA PRADESH),0.011160814104528804,0.0030193236714975845,0.004830917874396135,5,8,0.06060606060606061,0.004076913316381605,4.775499267869578,0.9692307692307692,62,31,Tier 1 — National Hub
IND244901AAB,RAMPUR_ROSHNBGH_I (UTTAR PRADESH),0.011160814104528804,0.006038647342995169,0.004227053140096618,10,7,0.08333333333333333,0.00352384311273281,1.4392607412757499,0.6565826330532213,131,32,Tier 1 — National Hub
IND521225AAB,VIJAYAWADA_RYNAPADU_H (ANDHRA PRADESH),0.01095323666632612,0.004830917874396135,0.004830917874396135,8,8,0.10256410256410256,0.002470353741621231,2.3526764856123408,0.9627976190476191,132,33,Tier 1 — National Hub
IND313001AAB,UDAIPUR_MANGRI_I (RAJASTHAN),0.010941144776722079,0.0024154589371980675,0.0030193236714975845,4,5,0.14285714285714285,0.001963872299527164,2.021796916533759,0.9510582010582012,100,34,Tier 1 — National Hub
IND125005AAA,HISAR_INDSTLAR_I (HARYANA),0.010719460133981347,0.0024154589371980675,0.0030193236714975845,4,5,0.14285714285714285,0.0010307238483482867,1.9653742965389318,0.7777777777777778,23,35,Tier 1 — National Hub
IND506002AAA,WARANGAL_HUNTERRD_I (TELANGANA),0.01061063312754499,0.0018115942028985505,0.0018115942028985505,3,3,0.0,0.001029899055787262,2.032547431928237,0.8229166666666666,87,36,Tier 1 — National Hub
IND821115AAB,SASARAM_CENTRAL_I_2 (BIHAR),0.009993946757738955,0.003623188405797101,0.0030193236714975845,6,5,0.1388888888888889,0.002433804283625161,1.7886799447510766,0.8839039748130658,80,37,Tier 1 — National Hub
IND505001AAB,KARIMNAGAR_KAMNHBRD_I (TELANGANA),0.009975808923332895,0.006642512077294686,0.004830917874396135,11,8,0.15384615384615385,0.0025447413006457315,1.9965125717613177,0.9473684210526315,77,38,Tier 1 — National Hub
IND580028AAA,HUBLI_ADARGCHI_IP (KARNATAKA),0.009584837826135607,0.005434782608695652,0.004830917874396135,9,8,0.0989010989010989,0.0037730879749351054,2.3216478289489366,0.9967320261437908,145,39,Tier 1 — National Hub
IND335513AAA,HANUMANGARH_DC (RAJASTHAN),0.009413536056745041,0.0018115942028985505,0.0018115942028985505,3,3,0.06666666666666667,0.0013587957424468992,1.6359866783779828,0.8981481481481483,36,40,Tier 1 — National Hub
